,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,lat,log,IMG_VIS,IMG_SWIR,Unnamed: 0_y,cot,cer,Sun_Elevation,Sat_Elevation,Sat_Azimuth,Sun_Azimuth
4890,2901825,2901825,35594718,23.311,74.695,440,200,1820839.0,3930.0,4801.0,7835.038,6151.174,16213.975,9520.452
4891,2901933,2901933,35594826,23.301,75.78,514,218,1793827.0,3562.0,7764.0,7941.2847,6181.2207,16458.295,9493.926
4892,2901961,2901961,35594854,23.298000000000002,76.061,508,207,1788427.0,3076.0,5894.0,7959.7705,6190.6797,16554.234,9493.926
4893,2902156,2902156,35595049,23.284000000000002,78.01,278,269,1731650.0,2817.0,9145.0,8156.9185,6231.007,17053.074,9625.246
4894,2902217,2902217,35595110,23.281,78.619,375,465,1715425.0,858.0,1626.0,8180.904,6243.2856,17115.484,9731.356
4895,2903146,2903146,35604632,23.576,60.992,135,222,2041888.0,1183.0,339.0,6594.2256,5381.0444,13604.348,9147.903
4896,2903356,2903356,35604842,23.511999999999997,63.3,178,307,2023018.0,1637.0,311.0,6793.0703,5569.2104,13990.043,9133.804
4897,2903687,2903687,35605173,23.427,66.839,113,144,1977197.0,3415.0,139.0,7123.159,5780.076,14556.666,9283.772
4898,2903758,2903758,35605244,23.412,67.585,307,407,1965072.0,1650.0,803.0,7187.4614,5836.3564,14649.348,9306.254
4899,2903787,2903787,35605273,23.406,67.888,262,352,1959682.0,1205.0,949.0,7218.11,5837.898,14727.006,9306.254
4900,2903788,2903788,35605274,23.405,67.899,246,346,1959683.0,1287.0,872.0,7218.11,5837.898,14727.006,9306.254
4901,2903804,2903804,35605290,23.401999999999997,68.066,371,349,1956990.0,1202.0,1005.0,7245.304,5852.5146,14727.006,9306.254
4902,2903828,2903828,35605314,23.397,68.316,356,422,1952951.0,1954.0,2213.0,7259.5137,5912.923,14819.85,9306.254
4903,2903917,2903917,35605403,23.38,69.24,285,418,1936791.0,1436.0,2393.0,7348.641,5925.483,14971.9375,9370.217
4904,2904071,2904071,35605557,23.351999999999997,70.827,349,392,1907161.0,1081.0,1377.0,7477.764,5994.335,15325.725,9428.151
4905,2904211,2904211,35605697,23.331,72.257,450,190,1877511.0,3971.0,3280.0,7606.359,6062.9727,15601.285,9520.452
4906,2904266,2904266,35605752,23.323,72.816,446,188,1865375.0,3147.0,3619.0,7653.386,6084.787,15801.409,9520.452
4907,2904317,2904317,35605803,23.316999999999997,73.332,462,202,1854587.0,3396.0,3743.0,7735.9116,6097.6475,15835.741,9520.452
4908,2904377,2904377,35605863,23.309,73.939,471,189,1841095.0,3729.0,5262.0,7780.641,6117.144,16071.811,9520.452
4909,2904408,2904408,35605894,23.305999999999997,74.252,481,190,1832994.0,4285.0,3477.0,7809.3823,6122.7935,16146.098,9520.452
4910,2904872,2904872,35606358,23.269000000000002,78.898,150,226,1711373.0,2212.0,2520.0,8232.718,6248.134,17225.574,9731.356
4911,2905033,2905033,35606519,23.264,80.499,381,245,1666739.0,1252.0,1073.0,8363.463,6264.8394,17616.98,9760.883
4912,2905746,2905746,35615824,23.575,60.681999999999995,89,147,2050003.0,1226.0,250.0,6562.1704,5348.364,13560.254,9112.975
4913,2906378,2906378,35616456,23.403000000000002,67.502,161,281,1967773.0,1405.0,651.0,7186.7676,5850.973,14649.348,9283.772
4914,2906524,2906524,35616602,23.373,69.024,382,438,1942186.0,1636.0,3185.0,7316.1143,5912.923,14924.585,9330.631
4915,2906531,2906531,35616609,23.372,69.096,387,436,1940839.0,1666.0,3245.0,7326.446,5920.916,14957.915,9354.505
4916,2906610,2906610,35616688,23.357,69.913,301,416,1926026.0,1280.0,1233.0,7394.982,5993.402,15113.235,9370.217
4917,2906725,2906725,35616803,23.338,71.094,386,241,1903126.0,3480.0,2118.0,7495.7007,6032.9297,15336.527,9448.414
4918,2907069,2907069,35617147,23.291999999999998,74.585,468,198,1827602.0,3788.0,5434.0,7835.038,6151.174,16207.142,9493.926
4919,2907112,2907112,35617190,23.287,75.018,474,205,1816799.0,3531.0,2896.0,7859.662,6151.174,16301.55,9493.926
4920,2907160,2907160,35617238,23.283,75.5,501,210,1804643.0,3025.0,7926.0,7900.104,6168.7163,16402.64,9493.926
4921,2907259,2907259,35617337,23.274,76.493,457,255,1778972.0,4197.0,3065.0,7996.8486,6202.4014,16599.89,9493.926
4922,2907428,2907428,35617506,23.263,78.181,383,512,1730303.0,722.0,2055.0,8156.9185,6231.007,17058.469,9587.806
4923,2907603,2907603,35617681,23.255,79.923,219,322,1677555.0,1222.0,933.0,8310.644,6259.4805,17491.906,9693.916
4924,2907689,2907689,35617767,23.253,80.778,506,344,1650498.0,4728.0,992.0,8397.775,6266.859,17650.902,9907.308
4925,2907697,2907697,35617775,23.253,80.857,380,370,1649146.0,2710.0,2005.0,8397.775,6267.1553,17694.178,9907.308
4926,2908754,2908754,35627424,23.451999999999998,64.835,163,296,2008203.0,914.0,710.0,6946.365,5643.61,14240.556,9182.036
4927,2909101,2909101,35627771,23.373,68.495,250,320,1952968.0,1409.0,2438.0,7272.883,5912.923,14841.467,9306.254
4928,2909189,2909189,35627859,23.355999999999998,69.408,252,387,1936808.0,1498.0,795.0,7352.6865,5925.483,15050.523,9370.217
4929,2909639,2909639,35628309,23.288,74.001,486,184,1842454.0,4267.0,4337.0,7780.641,6117.144,16071.811,9493.926
4930,2909700,2909700,35628370,23.281,74.616,461,193,1826250.0,3998.0,5520.0,7835.038,6151.174,16207.142,9493.926
4931,2909801,2909801,35628471,23.271,75.631,510,215,1803297.0,2750.0,8991.0,7926.231,6168.7163,16440.713,9493.926
4932,2909879,2909879,35628549,23.264,76.413,448,228,1781676.0,4298.0,9809.0,7996.8486,6202.4014,16599.89,9456.485
4933,2911138,2911138,35638400,23.511,62.192,163,231,2043283.0,890.0,590.0,6696.1562,5465.26,13780.82,9133.804
4934,2911677,2911677,35638939,23.373,67.955,201,291,1963751.0,1473.0,836.0,7218.11,5852.5146,14723.464,9306.254
4935,2912015,2912015,35639277,23.311999999999998,71.444,502,189,1899099.0,3813.0,3167.0,7544.612,6046.8438,15425.353,9510.418
4936,2912028,2912028,35639290,23.31,71.577,504,224,1896404.0,4464.0,15000.0,7545.58,6051.9136,15426.289,9510.418
